attack_class,feature,train_mean,test_mean,train_median,test_median,train_std,test_std,train_min,test_min,train_max,test_max
R2L,duration,633.4170854271357,98.75706409372846,0.0,4.0,2232.535662608429,1083.2774865986335,0.0,0.0,15168.0,57715.0
R2L,src_bytes,307727.30050251255,54976.82253618194,334.0,48.0,1214966.3832789948,1307472.024972278,0.0,0.0,5135678.0,62825648.0
R2L,dst_bytes,81822.02613065326,754.1609235010337,0.0,93.0,629878.2332635975,12163.642972137048,0.0,0.0,5155468.0,511712.0
R2L,count,1.2974874371859297,1.6230186078566506,1.0,1.0,0.48096955085123744,7.121818395745356,1.0,1.0,4.0,374.0
R2L,srv_count,2.457286432160804,1.5847691247415576,1.0,1.0,12.751807173515052,7.118552085717619,1.0,1.0,163.0,374.0
R2L,serror_rate,0.011899497487437186,0.002929014472777395,0.0,0.0,0.10033600466804135,0.051603396261111344,0.0,0.0,1.0,1.0
R2L,rerror_rate,0.05175879396984925,0.0493314955203308,0.0,0.0,0.21994242458275481,0.21002396664120365,0.0,0.0,1.0,1.0
R2L,same_srv_rate,0.9966532663316584,0.9811750516884906,1.0,1.0,0.04009239049417792,0.09795793839801163,0.5,0.12,1.0,1.0
R2L,diff_srv_rate,0.006703517587939699,0.03255341144038594,0.0,0.0,0.0802673321178695,0.16954079474512396,0.0,0.0,1.0,1.0
R2L,dst_host_count,89.03718592964825,186.74155754651963,10.0,255.0,111.87365153406765,100.54212952676058,1.0,1.0,255.0,255.0
R2L,dst_host_same_srv_rate,0.7273768844221106,0.6759097174362508,1.0,0.88,0.36232239619022705,0.36598784662415135,0.0,0.0,1.0,1.0
U2R,duration,80.9423076923077,204.08,46.0,60.0,120.51090805099767,439.7785082590219,0.0,0.0,708.0,2224.0
U2R,src_bytes,906.2307692307693,12522.54,273.0,1991.0,1188.259719668908,53157.36031253176,0.0,0.0,6274.0,283618.0
U2R,dst_bytes,5141.961538461538,13255.5,2907.0,3272.5,10081.513629277859,32664.450274959567,0.0,0.0,70529.0,223095.0
U2R,count,5.8076923076923075,1.06,1.0,1.0,23.454619062232698,0.3136356914300021,1.0,1.0,151.0,3.0
U2R,srv_count,1.2692307692307692,1.08,1.0,1.0,0.6298267615963346,0.34046786536608525,1.0,1.0,3.0,3.0
U2R,serror_rate,0.03807692307692308,0.0,0.0,0.0,0.19224207025170278,0.0,0.0,0.0,0.99,0.0
U2R,rerror_rate,0.009807692307692307,0.0,0.0,0.0,0.06932419956660536,0.0,0.0,0.0,0.5,0.0
U2R,same_srv_rate,0.9315384615384615,1.0,1.0,1.0,0.21638187571689824,0.0,0.01,1.0,1.0,1.0
U2R,diff_srv_rate,0.06365384615384616,0.0,0.0,0.0,0.22132425725089902,0.0,0.0,0.0,1.0,0.0
U2R,dst_host_count,47.76923076923077,135.52,2.5,148.5,96.19213114134818,114.14334703989273,1.0,1.0,255.0,255.0
U2R,dst_host_same_srv_rate,0.7811538461538462,0.33740000000000003,1.0,0.21000000000000002,0.3995814174866036,0.33135350135035974,0.0,0.0,1.0,1.0
