attack_class,feature,category,train_count,test_count,train_percentage,test_percentage,percentage_point_shift
R2L,protocol_type,icmp,0,4,0.0,0.13783597518952445,0.13783597518952445
R2L,protocol_type,tcp,995,2384,100.0,82.15024121295657,-17.849758787043427
R2L,protocol_type,udp,0,514,0.0,17.711922811853896,17.711922811853896
R2L,service,IRC,0,1,0.0,0.03445899379738111,0.03445899379738111
R2L,service,X11,0,10,0.0,0.34458993797381116,0.34458993797381116
R2L,service,auth,0,4,0.0,0.13783597518952445,0.13783597518952445
R2L,service,domain,0,6,0.0,0.20675396278428668,0.20675396278428668
R2L,service,ftp,312,606,31.35678391959799,20.88215024121296,-10.474633678385032
R2L,service,ftp_data,604,458,60.7035175879397,15.782219159200551,-44.92129842873915
R2L,service,http,4,2,0.4020100502512563,0.06891798759476223,-0.33309206265649405
R2L,service,imap4,11,1,1.105527638190955,0.03445899379738111,-1.0710686443935737
R2L,service,login,2,1,0.20100502512562815,0.03445899379738111,-0.16654603132824702
R2L,service,other,5,148,0.5025125628140703,5.0999310820124055,4.597418519198335
R2L,service,pop_3,0,750,0.0,25.844245348035837,25.844245348035837
R2L,service,private,0,498,0.0,17.160578911095797,17.160578911095797
R2L,service,smtp,0,6,0.0,0.20675396278428668,0.20675396278428668
R2L,service,telnet,57,407,5.728643216080402,14.024810475534114,8.29616725945371
R2L,service,urp_i,0,4,0.0,0.13783597518952445,0.13783597518952445
R2L,flag,REJ,0,112,0.0,3.859407305306685,3.859407305306685
R2L,flag,RSTO,46,28,4.623115577889447,0.9648518263266712,-3.6582637515627754
R2L,flag,RSTR,5,4,0.5025125628140703,0.13783597518952445,-0.36467658762454586
R2L,flag,S1,1,5,0.10050251256281408,0.17229496898690558,0.0717924564240915
R2L,flag,S2,1,0,0.10050251256281408,0.0,-0.10050251256281408
R2L,flag,S3,3,4,0.3015075376884422,0.13783597518952445,-0.16367156249891773
R2L,flag,SF,935,2749,93.96984924623115,94.72777394900069,0.757924702769543
R2L,flag,SH,4,0,0.4020100502512563,0.0,-0.4020100502512563
U2R,protocol_type,tcp,49,50,94.23076923076923,100.0,5.769230769230774
U2R,protocol_type,udp,3,0,5.769230769230769,0.0,-5.769230769230769
U2R,service,ftp,3,8,5.769230769230769,16.0,10.23076923076923
U2R,service,ftp_data,12,11,23.076923076923077,22.0,-1.0769230769230766
U2R,service,other,3,0,5.769230769230769,0.0,-5.769230769230769
U2R,service,telnet,34,31,65.38461538461539,62.0,-3.384615384615387
U2R,flag,RSTO,1,0,1.9230769230769231,0.0,-1.9230769230769231
U2R,flag,SF,51,50,98.07692307692307,100.0,1.923076923076934
