class,feature,train_mean,test_mean,mean_difference,train_median,test_median,median_difference,train_std,test_std,train_min,test_min,train_max,test_max
R2L,duration,633.4170854271357,98.75706409372846,-534.6600213334073,0.0,4.0,4.0,2232.535662608429,1083.2774865986335,0.0,0.0,15168.0,57715.0
R2L,src_bytes,307727.30050251255,54976.82253618194,-252750.4779663306,334.0,48.0,-286.0,1214966.3832789948,1307472.024972278,0.0,0.0,5135678.0,62825648.0
R2L,dst_bytes,81822.02613065326,754.1609235010337,-81067.86520715222,0.0,93.0,93.0,629878.2332635975,12163.642972137048,0.0,0.0,5155468.0,511712.0
R2L,land,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R2L,wrong_fragment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R2L,urgent,0.003015075376884422,0.0010337698139214334,-0.0019813055629629888,0.0,0.0,0.0,0.07085958835216286,0.03214120587315343,0.0,0.0,2.0,1.0
R2L,hot,8.33467336683417,0.3762922122674018,-7.958381154566768,0.0,0.0,0.0,12.372876878980842,0.820095946204071,0.0,0.0,28.0,15.0
R2L,num_failed_logins,0.05628140703517588,0.16368022053756032,0.10739881350238444,0.0,0.0,0.0,0.2707175077828382,0.37651310053215975,0.0,0.0,5.0,4.0
R2L,logged_in,0.91356783919598,0.4479669193659545,-0.46560091983002544,1.0,0.0,-1.0,0.2811424561584091,0.4973708902029987,0.0,0.0,1.0,1.0
R2L,num_compromised,0.07738693467336684,0.016540317022742935,-0.06084661765062391,0.0,0.0,0.0,1.480606082745756,0.3952519234614405,0.0,0.0,38.0,14.0
R2L,root_shell,0.006030150753768844,0.004135079255685734,-0.0018950714980831103,0.0,0.0,0.0,0.07745849213287317,0.06418255120345186,0.0,0.0,1.0,1.0
R2L,su_attempted,0.0010050251256281408,0.00034458993797381116,-0.0006604351876543296,0.0,0.0,0.0,0.031702131247412065,0.018563133840324788,0.0,0.0,1.0,1.0
R2L,num_root,0.11155778894472362,0.031013094417643005,-0.08054469452708062,0.0,0.0,0.0,2.1704567214541206,0.5750196919735264,0.0,0.0,54.0,26.0
R2L,num_file_creations,0.035175879396984924,0.011371467953135768,-0.023804411443849156,0.0,0.0,0.0,0.6932912524948086,0.1728013422418196,0.0,0.0,21.0,5.0
R2L,num_shells,0.004020100502512563,0.0034458993797381117,-0.0005742011227744515,0.0,0.0,0.0,0.07758891568395594,0.06422325387182115,0.0,0.0,2.0,2.0
R2L,num_access_files,0.010050251256281407,0.00585802894555479,-0.004192222310726617,0.0,0.0,0.0,0.10941355236019737,0.09981094419182612,0.0,0.0,2.0,4.0
R2L,num_outbound_cmds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R2L,is_host_login,0.0,0.0027567195037904893,0.0027567195037904893,0.0,0.0,0.0,0.0,0.05244108739345339,0.0,0.0,0.0,1.0
R2L,is_guest_login,0.314572864321608,0.20572019297036526,-0.10885267135124277,0.0,0.0,0.0,0.4645790520903669,0.4042965747704835,0.0,0.0,1.0,1.0
R2L,count,1.2974874371859297,1.6230186078566506,0.3255311706707209,1.0,1.0,0.0,0.48096955085123744,7.121818395745356,1.0,1.0,4.0,374.0
R2L,srv_count,2.457286432160804,1.5847691247415576,-0.8725173074192463,1.0,1.0,0.0,12.751807173515052,7.118552085717619,1.0,1.0,163.0,374.0
R2L,serror_rate,0.011899497487437186,0.002929014472777395,-0.008970483014659792,0.0,0.0,0.0,0.10033600466804135,0.051603396261111344,0.0,0.0,1.0,1.0
R2L,srv_serror_rate,0.011045226130653266,0.0027567195037904893,-0.008288506626862776,0.0,0.0,0.0,0.0913189347941364,0.05077118559224803,0.0,0.0,1.0,1.0
R2L,rerror_rate,0.05175879396984925,0.0493314955203308,-0.0024272984495184446,0.0,0.0,0.0,0.21994242458275481,0.21002396664120365,0.0,0.0,1.0,1.0
R2L,srv_rerror_rate,0.05204020100502513,0.050251550654720874,-0.0017886503503042536,0.0,0.0,0.0,0.21989882068806055,0.21733771645721545,0.0,0.0,1.0,1.0
R2L,same_srv_rate,0.9966532663316584,0.9811750516884906,-0.015478214643167787,1.0,1.0,0.0,0.04009239049417792,0.09795793839801163,0.5,0.12,1.0,1.0
R2L,diff_srv_rate,0.006703517587939699,0.03255341144038594,0.02584989385244624,0.0,0.0,0.0,0.0802673321178695,0.16954079474512396,0.0,0.0,1.0,1.0
R2L,srv_diff_host_rate,0.01715577889447236,0.007529290144727774,-0.009626488749744587,0.0,0.0,0.0,0.11914454832110108,0.08267749858911648,0.0,0.0,1.0,1.0
R2L,dst_host_count,89.03718592964825,186.74155754651963,97.70437161687138,10.0,255.0,245.0,111.87365153406765,100.54212952676058,1.0,1.0,255.0,255.0
R2L,dst_host_srv_count,42.44020100502512,121.44417643004824,79.00397542502313,35.0,97.0,62.0,35.37700363622481,101.69916036910021,1.0,1.0,255.0,255.0
R2L,dst_host_same_srv_rate,0.7273768844221106,0.6759097174362508,-0.051467166985859736,1.0,0.88,-0.12,0.36232239619022705,0.36598784662415135,0.0,0.0,1.0,1.0
R2L,dst_host_diff_srv_rate,0.021306532663316582,0.06241902136457615,0.04111248870125957,0.0,0.02,0.02,0.06815697873320029,0.16387522942901983,0.0,0.0,1.0,1.0
R2L,dst_host_same_src_port_rate,0.5969145728643215,0.14241902136457613,-0.45449555149974535,1.0,0.0,-1.0,0.47366844789353735,0.3285467874508929,0.0,0.0,1.0,1.0
R2L,dst_host_srv_diff_host_rate,0.08573869346733669,0.02575120606478291,-0.059987487402553774,0.07,0.0,-0.07,0.10664790062890513,0.07953612576614845,0.0,0.0,1.0,1.0
R2L,dst_host_serror_rate,0.02384924623115578,0.01355961405926947,-0.010289632171886309,0.0,0.0,0.0,0.09259916315516514,0.08166428361147761,0.0,0.0,1.0,0.98
R2L,dst_host_srv_serror_rate,0.015959798994974874,0.002377670572019297,-0.013582128422955577,0.0,0.0,0.0,0.08483122308691732,0.031592207711576135,0.0,0.0,1.0,1.0
R2L,dst_host_rerror_rate,0.05111557788944723,0.05655065472088216,0.005435076831434925,0.0,0.0,0.0,0.2023564938721167,0.16388780102550715,0.0,0.0,0.96,1.0
R2L,dst_host_srv_rerror_rate,0.04736683417085427,0.04883528600964853,0.0014684518387942588,0.0,0.0,0.0,0.20238890463124368,0.1874034401639556,0.0,0.0,0.96,1.0
U2R,duration,80.9423076923077,204.08,123.13769230769232,46.0,60.0,14.0,120.51090805099767,439.7785082590219,0.0,0.0,708.0,2224.0
U2R,src_bytes,906.2307692307693,12522.54,11616.309230769231,273.0,1991.0,1718.0,1188.259719668908,53157.36031253176,0.0,0.0,6274.0,283618.0
U2R,dst_bytes,5141.961538461538,13255.5,8113.538461538462,2907.0,3272.5,365.5,10081.513629277859,32664.450274959567,0.0,0.0,70529.0,223095.0
U2R,land,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U2R,wrong_fragment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U2R,urgent,0.019230769230769232,0.26,0.2407692307692308,0.0,0.0,0.0,0.1386750490563073,0.6942915931555924,0.0,0.0,1.0,3.0
U2R,hot,1.4038461538461537,2.32,0.9161538461538461,1.0,2.0,1.0,1.537244994119578,2.6452884569377613,0.0,0.0,5.0,10.0
U2R,num_failed_logins,0.019230769230769232,0.04,0.02076923076923077,0.0,0.0,0.0,0.1386750490563073,0.19794866372215741,0.0,0.0,1.0,1.0
U2R,logged_in,0.8846153846153846,0.78,-0.10461538461538455,1.0,1.0,0.0,0.3226025390322358,0.41845195759648024,0.0,0.0,1.0,1.0
U2R,num_compromised,1.2115384615384615,10.04,8.828461538461537,0.0,1.0,1.0,1.6725762500457773,26.160384444532045,0.0,0.0,6.0,165.0
U2R,root_shell,0.5,0.5,0.0,0.5,0.5,0.0,0.5048781642974013,0.5050762722761054,0.0,0.0,1.0,1.0
U2R,su_attempted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U2R,num_root,0.7884615384615384,10.3,9.511538461538462,0.0,0.0,0.0,2.3037611060580523,32.633556036568194,0.0,0.0,14.0,173.0
U2R,num_file_creations,0.7884615384615384,1.16,0.3715384615384615,0.0,0.0,0.0,1.2100322222502429,1.8445728447507397,0.0,0.0,4.0,7.0
U2R,num_shells,0.1346153846153846,0.32,0.1853846153846154,0.0,0.0,0.0,0.4440829349254551,0.84370417487048,0.0,0.0,2.0,5.0
U2R,num_access_files,0.019230769230769232,0.16,0.14076923076923076,0.0,0.0,0.0,0.1386750490563073,0.4677344441069971,0.0,0.0,1.0,2.0
U2R,num_outbound_cmds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U2R,is_host_login,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.23989793748209523,0.0,0.0,0.0,1.0
U2R,is_guest_login,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U2R,count,5.8076923076923075,1.06,-4.747692307692308,1.0,1.0,0.0,23.454619062232698,0.3136356914300021,1.0,1.0,151.0,3.0
U2R,srv_count,1.2692307692307692,1.08,-0.1892307692307691,1.0,1.0,0.0,0.6298267615963346,0.34046786536608525,1.0,1.0,3.0,3.0
U2R,serror_rate,0.03807692307692308,0.0,-0.03807692307692308,0.0,0.0,0.0,0.19224207025170278,0.0,0.0,0.0,0.99,0.0
U2R,srv_serror_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U2R,rerror_rate,0.009807692307692307,0.0,-0.009807692307692307,0.0,0.0,0.0,0.06932419956660536,0.0,0.0,0.0,0.5,0.0
U2R,srv_rerror_rate,0.019230769230769232,0.0,-0.019230769230769232,0.0,0.0,0.0,0.1386750490563073,0.0,0.0,0.0,1.0,0.0
U2R,same_srv_rate,0.9315384615384615,1.0,0.06846153846153846,1.0,1.0,0.0,0.21638187571689824,0.0,0.01,1.0,1.0,1.0
U2R,diff_srv_rate,0.06365384615384616,0.0,-0.06365384615384616,0.0,0.0,0.0,0.22132425725089902,0.0,0.0,0.0,1.0,0.0
U2R,srv_diff_host_rate,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.14142135623730948,0.0,0.0,0.0,1.0
U2R,dst_host_count,47.76923076923077,135.52,87.75076923076924,2.5,148.5,146.0,96.19213114134818,114.14334703989273,1.0,1.0,255.0,255.0
U2R,dst_host_srv_count,9.884615384615385,26.68,16.795384615384613,2.5,7.0,4.5,21.93363774103723,39.68623881171417,1.0,1.0,84.0,164.0
U2R,dst_host_same_srv_rate,0.7811538461538462,0.33740000000000003,-0.44375384615384617,1.0,0.21000000000000002,-0.79,0.3995814174866036,0.33135350135035974,0.0,0.0,1.0,1.0
U2R,dst_host_diff_srv_rate,0.04,0.182,0.142,0.0,0.04,0.04,0.14660872295691965,0.2568649291684926,0.0,0.0,0.75,1.0
U2R,dst_host_same_src_port_rate,0.5682692307692307,0.19,-0.37826923076923075,0.5,0.015,-0.485,0.428987504520459,0.29288153208547435,0.0,0.0,1.0,1.0
U2R,dst_host_srv_diff_host_rate,0.08115384615384616,0.07,-0.011153846153846153,0.0,0.0,0.0,0.21314317977114883,0.2266886744017901,0.0,0.0,1.0,1.0
U2R,dst_host_serror_rate,0.0,0.07780000000000001,0.07780000000000001,0.0,0.0,0.0,0.0,0.20291035519385886,0.0,0.0,0.0,1.0
U2R,dst_host_srv_serror_rate,0.004807692307692308,0.05460000000000001,0.049792307692307705,0.0,0.0,0.0,0.03466876226407682,0.21446858863293733,0.0,0.0,0.25,0.99
U2R,dst_host_rerror_rate,0.039615384615384615,0.09960000000000001,0.05998461538461539,0.0,0.0,0.0,0.14089297201278095,0.2486367730203221,0.0,0.0,0.73,0.98
U2R,dst_host_srv_rerror_rate,0.01903846153846154,0.0794,0.06036153846153846,0.0,0.0,0.0,0.052140820461237865,0.20694483145347245,0.0,0.0,0.25,0.98
